file_name,duration,model_name,device_used,number_of_speakers,processing_time_sec,human_verification_speaker
tests_data_trn06.wav,30.0,hubert,cuda,2,0.7,2
tests_data_trn07.wav,30.0,wavlm,cpu,2,10.53,3
tests_data_trn07.wav,30.0,wav2vec2,cpu,2,9.62,3
tests_data_trn07.wav,30.0,hubert,cpu,2,10.37,3
tests_data_trn07.wav,30.0,wavlm,cuda,2,0.98,3
tests_data_trn07.wav,30.0,wav2vec2,cuda,2,0.66,3
tests_data_trn07.wav,30.0,hubert,cuda,2,0.64,3
tests_data_trn08.wav,30.0,wavlm,cpu,2,5.99,4
tests_data_trn08.wav,30.0,wav2vec2,cpu,2,4.96,4
tests_data_trn08.wav,30.0,hubert,cpu,2,5.88,4
tests_data_trn08.wav,30.0,wavlm,cuda,2,0.59,4
tests_data_trn08.wav,30.0,wav2vec2,cuda,2,0.39,4
tests_data_trn08.wav,30.0,hubert,cuda,2,0.4,4
tests_data_trn09.wav,30.0,wavlm,cpu,2,12.73,2
tests_data_trn09.wav,30.0,wav2vec2,cpu,2,12.36,2
tests_data_trn09.wav,30.0,hubert,cpu,2,13.04,2
tests_data_trn09.wav,30.0,wavlm,cuda,2,1.19,2
tests_data_trn09.wav,30.0,wav2vec2,cuda,2,0.78,2
tests_data_trn09.wav,30.0,hubert,cuda,2,0.77,2
tests_data_trñ00.wav,30.0,wavlm,cpu,2,10.59,4
tests_data_trñ00.wav,30.0,wav2vec2,cpu,2,9.49,4
tests_data_trñ00.wav,30.0,hubert,cpu,2,10.24,4
tests_data_trñ00.wav,30.0,wavlm,cuda,2,1.02,4
tests_data_trñ00.wav,30.0,wav2vec2,cuda,2,0.65,4
tests_data_trñ00.wav,30.0,hubert,cuda,2,0.66,4
tests_data_tst00.wav,30.0,wavlm,cpu,2,10.73,4
tests_data_tst00.wav,30.0,wav2vec2,cpu,2,10.37,4
tests_data_tst00.wav,30.0,hubert,cpu,2,10.32,4
tests_data_tst00.wav,30.0,wavlm,cuda,2,0.99,4
tests_data_tst00.wav,30.0,wav2vec2,cuda,2,0.66,4
tests_data_tst00.wav,30.0,hubert,cuda,2,0.66,4
tests_data_tst01.wav,30.0,wavlm,cpu,2,9.15,4
tests_data_tst01.wav,30.0,wav2vec2,cpu,2,8.0,4
tests_data_tst01.wav,30.0,hubert,cpu,2,9.02,4
tests_data_tst01.wav,30.0,wavlm,cuda,2,0.86,4
tests_data_tst01.wav,30.0,wav2vec2,cuda,2,0.58,4
tests_data_tst01.wav,30.0,hubert,cuda,2,0.6,4
